"Next 1-2-3 Inning (Three Up, Three Down)",Shotgun,3
Next Beer Commercial,1 Drink,1
Next Car Commercial,1 Drink,1
Next Changeup That's A Strike,1 Drink,1
Next Curve That's A Strike,1 Drink,1
Next Diving Catch,2 Drinks,2
Next Double,2 Drinks,2
Next Double Play,3 Drinks,3
Next Foul Ball,1 Drink,1
Next Full Count,1 Drink,1
Next Home Run,Take a shot,4
Next Left Handed Batter,1 Drink,1
Next Mound Visit By Coach,2 Drinks,2
Next Out At First Base,1 Drink,1
Next Out At Home Base,2 Drinks,2
Next Out At Third Base,1 Drink,1
Next Pop Out Or Flyout,1 Drink,1
Next Replay Review,2 Drinks,2
Next Run,2 Drinks,2
Next Single,1 Drink,1
Next Slider That’s A Strike,1 Drink,1
Next Sports Betting Commercial,1 Drink,1
Next Steal,2 Drinks ,2
Next Strikeout,2 Drinks,2
"Next Tim Announcer Says ""Fast Ball""",1 Drink,1
Next Time A Pitcher Attempts To Pickoff A Player,2 Drinks,2
Next Time A Player Catches A Foul Ball,2 Drinks,2
Next Time a Player is Filmed Spitting,1 Drink,1
Next Time A Player Is In A Pickle,2 Drinks,2
Next Time A Player Slides,1 Drink,1
Next Time An Announcer Mentions A Retired Player,1 Drink,1
"Next Time Announcer Says ""Left Field""",1 Drink,1
Next Time Bases Are Loaded,2 Drinks,2
"Next Time The Announcer Says ""Ground Ball""",1 Drink,1
Next Time The Bases Are Loaded,2 Drinks,2
Next Time The Catcher Drops The Ball,2 Drinks,2
Next Time The Count is 1-2,1 Drink,1
Next Time The Count is 2-0,1 Drink,1
Next Time The Count Is 2-2,1 Drink,1
Next Time There Is 2 Balls In a Row,1 Drink,1
Next Time There Is Two Strikes In A Row,1 Drink,1
Next Triple,3 Drinks,3
Next Walk,1 Drink,1
Next Time A Player Commits An Error,2 Drinks,2
Next Shutout Inning ,2 Drinks,2
